session_id,target
1,0.003496370743220642
2,4.943323736602628e-11
3,5.66205295097359e-12
4,6.517955103634401e-09
5,1.2025673528332029e-05
6,0.00013771801469347931
7,0.0006911858032756019
8,0.00011008549424675164
9,0.001252022600417036
10,0.09555879652855195
11,8.391618887133247e-06
12,8.150264089104392e-05
13,0.00016074296347856544
14,0.3305734637405334
15,3.0103506606553e-05
16,0.004492018145160358
17,0.01629738935791548
18,1.7407672775161198e-05
19,0.0004992168765108878
20,1.6344340702171312e-09
21,0.06808113391877946
22,1.3820408754636984e-09
23,1.3691809244697872e-05
24,0.0008160357189212239
25,0.0699880241286532
26,4.4358811032517915e-10
27,0.000787808025471816
28,3.1570360768468715e-08
29,0.01653296855363589
30,1.9210357914370854e-05
31,0.017453352681670566
32,0.04633493758293692
33,0.0006311051823564051
34,2.176746627622267e-09
35,0.02632127956467228
36,0.00017396393253936966
37,4.3838828802613675e-10
38,3.2390603858622975e-10
39,1.9210357914370854e-05
40,1.1530254042892086e-05
41,0.0005220796800488273
42,0.0009769298486292045
43,9.528044382775499e-07
44,3.4927707485463973e-06
45,0.11875847837846122
46,4.353540601065649e-07
47,0.010761742056156997
48,0.00034896724790964946
49,1.1105599319147205e-05
50,7.374242131974081e-06
51,1.0729419496229765e-09
52,2.293149686982451e-06
53,0.030795890231050293
54,2.688159070008766e-05
55,6.168913458081098e-06
56,0.0030565089961705136
57,2.1599937198016694e-07
58,1.0670052158094192e-05
59,1.6976439162544333e-07
60,1.284506653697605e-06
61,3.430096125916055e-06
62,0.0013042020865785225
63,2.2786862061141365e-06
64,4.3498743123929535e-05
65,7.520797240260903e-08
66,1.972026754385027e-09
67,0.00015180973285871277
68,7.603487142360232e-05
69,0.08992804397676084
70,7.724464418719772e-05
71,6.243438495053699e-05
72,1.6976439162544333e-07
73,0.027011538421422867
74,4.943323736602628e-11
75,3.6927438271935834e-05
76,0.0002405722689336535
77,0.00015579539311928736
78,0.0015201631191839437
79,1.0377871330663107e-06
80,0.00010915080513490885
81,1.7437128638999022e-05
82,1.304420941767608e-05
83,4.5810729994502945e-09
84,0.20893653429040476
85,1.6972645394420742e-06
86,6.5390645356967086e-09
87,0.0013342467515754211
88,0.00025318578404498406
89,0.00026742861105289074
90,0.02497418503072491
91,7.692296795000126e-05
92,2.430636744820506e-06
93,0.009175888833770738
94,0.0012179133810640412
95,0.03717426461760687
96,2.689086878700817e-10
97,9.722404596745149e-05
98,2.322379510420564e-05
99,8.97760788228586e-06
100,3.3635947309367586e-05
101,0.0007036612727216879
102,0.06659970986437695
103,0.004601961910014774
104,0.0013573366301128517
105,8.235295419895135e-07
106,0.000278398097421488
107,0.0004164395516600092
108,1.9256955871547434e-06
109,5.578113915188914e-06
110,1.993084340963293e-05
111,7.269882906742093e-05
